image_id,decision,suspicious_slots,plate_text,ocr_plate_text,plate_text_corrected,suspicious_characters,slot_count,plate_type,input_path,rectified_path,notes,annotated_at
AADY1439,suspicious,5,,,false,S5,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AADY1439.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AADY1439/03_rectified.jpg,,2026-08-25T22:09:35+08:00
ACDW3269,suspicious,7,,,false,S7,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/ACDW3269.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/ACDW3269/03_rectified.jpg,,2026-08-25T22:09:52+08:00
ACTC3767,clear,,,,false,,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/ACTC3767.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/ACTC3767/03_rectified.jpg,,2026-08-25T22:09:59+08:00
ACTN9514,suspicious,3,,,false,S3,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/ACTN9514.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/ACTN9514/03_rectified.jpg,,2026-08-25T22:10:22+08:00
AFOL6295,clear,,,,false,,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AFOL6295.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AFOL6295/03_rectified.jpg,,2026-08-25T22:10:26+08:00
AGYR0820,suspicious,3;5,,,false,S3;S5,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AGYR0820.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AGYR0820/03_rectified.jpg,,2026-08-25T22:10:42+08:00
AIIR5852,clear,,,,false,,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AIIR5852.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AIIR5852/03_rectified.jpg,,2026-08-25T22:10:53+08:00
ANHZ2961,suspicious,7,,,false,S7,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/ANHZ2961.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/ANHZ2961/03_rectified.jpg,,2026-08-25T22:11:01+08:00
AOUD0781,suspicious,2,,,false,S2,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AOUD0781.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AOUD0781/03_rectified.jpg,,2026-08-25T22:11:21+08:00
AVOD5031,suspicious,4;8,,,false,S4;S8,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AVOD5031.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AVOD5031/03_rectified.jpg,,2026-08-25T22:11:29+08:00
AVZG5105,suspicious,3;6,,,false,S3;S6,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AVZG5105.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AVZG5105/03_rectified.jpg,,2026-08-25T22:11:35+08:00
AXRG6268,suspicious,4,,,false,S4,8,green_new_energy,/home/yuehe/cjn/lisence-plate-forgery/data/images/AXRG6268.JPG,/home/yuehe/cjn/lisence-plate-forgery/outputs/annotation-remaining1363-local-v3_20260825_210051/AXRG6268/03_rectified.jpg,,2026-08-25T22:11:47+08:00
